Date : 2026-04-09 16:28:27
Directory : /Users/ebelthomasseiko/ClippedAI
Total : 165 files,  24621 codes, 598 comments, 1984 blanks, all 27203 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frontend/src/app/tasks/[id]/edit                                                                                      |          1 |        851 |          0 |         98 |        949 |
| frontend/src/components                                                                                               |         67 |      5,124 |        124 |        588 |      5,836 |
| frontend/src/components (Files)                                                                                       |          7 |        719 |         11 |         75 |        805 |
| frontend/src/components/admin                                                                                         |          1 |         52 |          0 |         10 |         62 |
| frontend/src/components/landing                                                                                       |         16 |      1,333 |         63 |        144 |      1,540 |
| frontend/src/components/landing-v2                                                                                    |         15 |        843 |          7 |         83 |        933 |
| frontend/src/components/landing-v2 (Files)                                                                            |          8 |        489 |          3 |         43 |        535 |
| frontend/src/components/landing-v2/sections                                                                           |          7 |        354 |          4 |         40 |        398 |
| frontend/src/components/landing-v3                                                                                    |          4 |        746 |         43 |         91 |        880 |
| frontend/src/components/landing/animations                                                                            |          3 |         86 |          0 |         12 |         98 |
| frontend/src/components/landing/layout                                                                                |          3 |        377 |          9 |         35 |        421 |
| frontend/src/components/landing/sections                                                                              |          7 |        550 |         32 |         55 |        637 |
| frontend/src/components/landing/ui                                                                                    |          3 |        320 |         22 |         42 |        384 |
| frontend/src/components/providers                                                                                     |          1 |          5 |          0 |          2 |          7 |
| frontend/src/components/ui                                                                                            |         23 |      1,426 |          0 |        183 |      1,609 |
| frontend/src/lib                                                                                                      |         10 |        321 |          7 |         66 |        394 |
| frontend/src/lib (Files)                                                                                              |          9 |        209 |          1 |         58 |        268 |
| frontend/src/lib/landing                                                                                              |          1 |        112 |          6 |          8 |        126 |
| frontend/src/schemas                                                                                                  |          1 |         11 |          0 |          4 |         15 |
| frontend/src/server                                                                                                   |          4 |        139 |          9 |         29 |        177 |
| frontend/src/server (Files)                                                                                           |          2 |         34 |          0 |         11 |         45 |
| frontend/src/server/auth                                                                                              |          2 |        105 |          9 |         18 |        132 |
| frontend/src/styles                                                                                                   |          1 |        265 |          0 |         25 |        290 |
| nginx                                                                                                                 |          2 |         71 |         20 |         15 |        106 |
| nginx (Files)                                                                                                         |          1 |         68 |         15 |         14 |         97 |
| nginx/conf.d                                                                                                          |          1 |          3 |          5 |          1 |          9 |
| scripts                                                                                                               |          3 |        302 |         32 |         56 |        390 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                              | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/ebelthomasseiko/ClippedAI/.github/workflows/deploy.yml                                                         | YAML               |        135 |          7 |         20 |        162 |
| /Users/ebelthomasseiko/ClippedAI/DEPLOY.md                                                                            | Markdown           |        136 |          0 |         65 |        201 |
| /Users/ebelthomasseiko/ClippedAI/README.md                                                                            | Markdown           |        107 |          0 |         24 |        131 |
| /Users/ebelthomasseiko/ClippedAI/backend/config.py                                                                    | Python             |         48 |          6 |         17 |         71 |
| /Users/ebelthomasseiko/ClippedAI/backend/main.py                                                                      | Python             |        188 |          6 |         40 |        234 |
| /Users/ebelthomasseiko/ClippedAI/backend/modal_fast_asd.py                                                            | Python             |         62 |          0 |          9 |         71 |
| /Users/ebelthomasseiko/ClippedAI/backend/read_secrets.py                                                              | Python             |         23 |          0 |          4 |         27 |
| /Users/ebelthomasseiko/ClippedAI/backend/requirements.txt                                                             | pip requirements   |         13 |          0 |          0 |         13 |
| /Users/ebelthomasseiko/ClippedAI/backend/run_local.py                                                                 | Python             |         48 |         10 |         18 |         76 |
| /Users/ebelthomasseiko/ClippedAI/backend/src/downloader.py                                                            | Python             |         64 |          1 |          9 |         74 |
| /Users/ebelthomasseiko/ClippedAI/backend/src/llm.py                                                                   | Python             |        106 |          5 |         25 |        136 |
| /Users/ebelthomasseiko/ClippedAI/backend/src/signal_helpers.py                                                        | Python             |         63 |          0 |          7 |         70 |
| /Users/ebelthomasseiko/ClippedAI/backend/src/subtitles.py                                                             | Python             |        108 |          3 |         27 |        138 |
| /Users/ebelthomasseiko/ClippedAI/backend/src/transcriber.py                                                           | Python             |         60 |          2 |         17 |         79 |
| /Users/ebelthomasseiko/ClippedAI/backend/src/video_processing.py                                                      | Python             |        497 |         85 |        100 |        682 |
| /Users/ebelthomasseiko/ClippedAI/backend/tests/conftest.py                                                            | Python             |          3 |          1 |          2 |          6 |
| /Users/ebelthomasseiko/ClippedAI/backend/tests/test_video_processing.py                                               | Python             |         48 |          7 |         29 |         84 |
| /Users/ebelthomasseiko/ClippedAI/deploy/bootstrap.sh                                                                  | Shell Script       |        102 |         13 |         22 |        137 |
| /Users/ebelthomasseiko/ClippedAI/deploy/github-secrets.md                                                             | Markdown           |         51 |          0 |         25 |         76 |
| /Users/ebelthomasseiko/ClippedAI/deploy/oci-premium.sh                                                                | Shell Script       |         60 |          6 |         16 |         82 |
| /Users/ebelthomasseiko/ClippedAI/deploy/oci-provision.sh                                                              | Shell Script       |        149 |         22 |         21 |        192 |
| /Users/ebelthomasseiko/ClippedAI/deploy/oci-retry.sh                                                                  | Shell Script       |         67 |         13 |         17 |         97 |
| /Users/ebelthomasseiko/ClippedAI/deploy/setup-ssl.sh                                                                  | Shell Script       |         65 |          8 |         15 |         88 |
| /Users/ebelthomasseiko/ClippedAI/docker-compose.yml                                                                   | YAML               |         44 |          0 |          3 |         47 |
| /Users/ebelthomasseiko/ClippedAI/frontend/Dockerfile                                                                  | Docker             |         33 |          8 |         13 |         54 |
| /Users/ebelthomasseiko/ClippedAI/frontend/README.md                                                                   | Markdown           |         18 |          0 |         12 |         30 |
| /Users/ebelthomasseiko/ClippedAI/frontend/components.json                                                             | JSON               |         21 |          0 |          0 |         21 |
| /Users/ebelthomasseiko/ClippedAI/frontend/eslint.config.js                                                            | JavaScript         |         57 |          3 |          3 |         63 |
| /Users/ebelthomasseiko/ClippedAI/frontend/next.config.js                                                              | JavaScript         |         58 |          2 |          8 |         68 |
| /Users/ebelthomasseiko/ClippedAI/frontend/package-lock.json                                                           | JSON               |     10,940 |          0 |          1 |     10,941 |
| /Users/ebelthomasseiko/ClippedAI/frontend/package.json                                                                | JSON               |         84 |          0 |          1 |         85 |
| /Users/ebelthomasseiko/ClippedAI/frontend/postcss.config.js                                                           | JavaScript         |          5 |          0 |          1 |          6 |
| /Users/ebelthomasseiko/ClippedAI/frontend/prettier.config.js                                                          | JavaScript         |          4 |          0 |          1 |          5 |
| /Users/ebelthomasseiko/ClippedAI/frontend/prisma/migrations/0001_init.sql                                             | MS SQL             |         80 |         21 |         28 |        129 |
| /Users/ebelthomasseiko/ClippedAI/frontend/prisma/migrations/20260101000000_init/migration.sql                         | MS SQL             |         80 |         21 |         28 |        129 |
| /Users/ebelthomasseiko/ClippedAI/frontend/prisma/migrations/20260402_cleanup_remove_post_add_indexes/migration.sql    | MS SQL             |          5 |          4 |          4 |         13 |
| /Users/ebelthomasseiko/ClippedAI/frontend/prisma/migrations/20260404_user_prefs_admin_optional_password/migration.sql | MS SQL             |          5 |         10 |          4 |         19 |
| /Users/ebelthomasseiko/ClippedAI/frontend/public/icons/bg-line-2.svg                                                  | XML                |          1 |          0 |          0 |          1 |
| /Users/ebelthomasseiko/ClippedAI/frontend/public/icons/bg-line.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| /Users/ebelthomasseiko/ClippedAI/frontend/public/icons/nav-arrow-down.svg                                             | XML                |          1 |          0 |          0 |          1 |
| /Users/ebelthomasseiko/ClippedAI/frontend/public/icons/search-header-bg.svg                                           | XML                |          1 |          0 |          0 |          1 |
| /Users/ebelthomasseiko/ClippedAI/frontend/public/icons/xmark.svg                                                      | XML                |          1 |          0 |          0 |          1 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/actions/auth.ts                                                         | TypeScript         |         37 |          0 |         10 |         47 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/actions/generation.ts                                                   | TypeScript         |         33 |          0 |          7 |         40 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/actions/s3.ts                                                           | TypeScript         |         46 |          0 |          9 |         55 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/admin/users/[userId]/admin/route.ts                             | TypeScript         |         57 |          1 |         11 |         69 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/auth/[...nextauth]/route.ts                                     | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/broll/status/route.ts                                           | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/caption-templates/route.ts                                      | TypeScript         |        123 |          1 |          4 |        128 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/feedback/route.ts                                               | TypeScript         |         37 |          2 |          9 |         48 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/fonts/[name]/route.ts                                           | TypeScript         |         78 |          8 |         11 |         97 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/fonts/route.ts                                                  | TypeScript         |         32 |          1 |          4 |         37 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/health/route.ts                                                 | TypeScript         |         19 |          2 |          5 |         26 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/preferences/route.ts                                            | TypeScript         |         63 |          1 |         14 |         78 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/tasks/[id]/progress/route.ts                                    | TypeScript         |        105 |          7 |         16 |        128 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/tasks/[id]/route.ts                                             | TypeScript         |        126 |          7 |         22 |        155 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/tasks/create/route.ts                                           | TypeScript         |        119 |          8 |         21 |        148 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/tasks/route.ts                                                  | TypeScript         |         46 |          0 |          8 |         54 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/upload/route.ts                                                 | TypeScript         |         79 |          5 |         15 |         99 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/webhooks/modal/route.ts                                         | TypeScript         |         76 |          7 |         14 |         97 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/dashboard/layout.tsx                                                | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/dashboard/loading.tsx                                               | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/dashboard/page.tsx                                                  | TypeScript JSX     |      1,049 |         44 |        100 |      1,193 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/layout.tsx                                                          | TypeScript JSX     |         35 |          0 |          8 |         43 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/list/layout.tsx                                                     | TypeScript JSX     |         12 |          0 |          3 |         15 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/list/page.tsx                                                       | TypeScript JSX     |        682 |         13 |         58 |        753 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/login/page.tsx                                                      | TypeScript JSX     |         40 |          4 |         10 |         54 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/not-found.tsx                                                       | TypeScript JSX     |         25 |          1 |          3 |         29 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/page.tsx                                                            | TypeScript JSX     |         31 |          0 |          3 |         34 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/settings/layout.tsx                                                 | TypeScript JSX     |         12 |          0 |          3 |         15 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/settings/page.tsx                                                   | TypeScript JSX     |        324 |         15 |         34 |        373 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/signup/page.tsx                                                     | TypeScript JSX     |         40 |          4 |         10 |         54 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/tasks/[id]/edit/page.tsx                                            | TypeScript JSX     |        851 |          0 |         98 |        949 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/tasks/[id]/page.tsx                                                 | TypeScript JSX     |        428 |          8 |         33 |        469 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/app/tasks/layout.tsx                                                    | TypeScript JSX     |         12 |          0 |          3 |         15 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/admin/admin-user-toggle.tsx                                  | TypeScript JSX     |         52 |          0 |         10 |         62 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/app-shell.tsx                                                | TypeScript JSX     |        195 |         11 |         17 |        223 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/clip-display.tsx                                             | TypeScript JSX     |         81 |          0 |          8 |         89 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/datafast-identity.tsx                                        | TypeScript JSX     |         28 |          0 |         10 |         38 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/dynamic-video-player.tsx                                     | TypeScript JSX     |         42 |          0 |          5 |         47 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/feedback-button.tsx                                          | TypeScript JSX     |        112 |          0 |         14 |        126 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/bento-grid.tsx                                    | TypeScript JSX     |         95 |          0 |         13 |        108 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/flip-words.tsx                                    | TypeScript JSX     |         79 |          0 |          5 |         84 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/floating-nav.tsx                                  | TypeScript JSX     |         66 |          3 |          4 |         73 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/grid-background.tsx                               | TypeScript JSX     |         12 |          0 |          2 |         14 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/infinite-marquee.tsx                              | TypeScript JSX     |        106 |          0 |         10 |        116 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/moving-border-button.tsx                          | TypeScript JSX     |         34 |          0 |          2 |         36 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/cta-section.tsx                          | TypeScript JSX     |         28 |          1 |          6 |         35 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/features-section.tsx                     | TypeScript JSX     |        100 |          0 |          5 |        105 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/footer-section.tsx                       | TypeScript JSX     |         64 |          0 |          6 |         70 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/hero-section.tsx                         | TypeScript JSX     |         42 |          1 |          8 |         51 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/how-it-works.tsx                         | TypeScript JSX     |         68 |          2 |          9 |         79 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/social-proof.tsx                         | TypeScript JSX     |         24 |          0 |          3 |         27 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/stats-section.tsx                        | TypeScript JSX     |         28 |          0 |          3 |         31 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/spotlight.tsx                                     | TypeScript JSX     |         42 |          0 |          2 |         44 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/text-generate.tsx                                 | TypeScript JSX     |         55 |          0 |          5 |         60 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v3/interactive-hero.tsx                              | TypeScript JSX     |        469 |         14 |         39 |        522 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v3/kinetic-typography.tsx                            | TypeScript JSX     |         47 |          3 |         13 |         63 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v3/sticky-narrative.tsx                              | TypeScript JSX     |        166 |         23 |         26 |        215 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v3/void-cta.tsx                                      | TypeScript JSX     |         64 |          3 |         13 |         80 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/animations/FadeIn.tsx                                | TypeScript JSX     |         30 |          0 |          4 |         34 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/animations/ScrollReveal.tsx                          | TypeScript JSX     |         50 |          0 |          5 |         55 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/animations/SharedLayoutProvider.tsx                  | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/layout/CookieBanner.tsx                              | TypeScript JSX     |         60 |          0 |          8 |         68 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/layout/Footer.tsx                                    | TypeScript JSX     |         90 |          3 |          9 |        102 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/layout/Navbar.tsx                                    | TypeScript JSX     |        227 |          6 |         18 |        251 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/AIEditor.tsx                                | TypeScript JSX     |         82 |          3 |          8 |         93 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/Autopilot.tsx                               | TypeScript JSX     |         47 |          5 |          6 |         58 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/CTASection.tsx                              | TypeScript JSX     |         76 |          2 |          7 |         85 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/ClipAnything.tsx                            | TypeScript JSX     |         66 |          7 |          8 |         81 |
