"filename", "language", "YAML", "Properties", "Markdown", "Python", "TypeScript", "JSON with Comments", "Shell Script", "Docker", "pip requirements", "JSON", "JavaScript", "XML", "TypeScript JSX", "CSS", "MS SQL", "comment", "blank", "total"
"/Users/ebelthomasseiko/ClippedAI/frontend/prisma/migrations/0001_init.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 21, 28, 129
"/Users/ebelthomasseiko/ClippedAI/frontend/prisma/migrations/20260101000000_init/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 21, 28, 129
"/Users/ebelthomasseiko/ClippedAI/frontend/prisma/migrations/20260402_cleanup_remove_post_add_indexes/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 4, 13
"/Users/ebelthomasseiko/ClippedAI/frontend/prisma/migrations/20260404_user_prefs_admin_optional_password/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 4, 19
"/Users/ebelthomasseiko/ClippedAI/frontend/public/icons/bg-line-2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ebelthomasseiko/ClippedAI/frontend/public/icons/bg-line.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ebelthomasseiko/ClippedAI/frontend/public/icons/nav-arrow-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ebelthomasseiko/ClippedAI/frontend/public/icons/search-header-bg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ebelthomasseiko/ClippedAI/frontend/public/icons/xmark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ebelthomasseiko/ClippedAI/frontend/src/actions/auth.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"/Users/ebelthomasseiko/ClippedAI/frontend/src/actions/generation.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/Users/ebelthomasseiko/ClippedAI/frontend/src/actions/s3.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/admin/users/[userId]/admin/route.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 69
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/auth/[...nextauth]/route.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/broll/status/route.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/caption-templates/route.ts", "TypeScript", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 128
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/feedback/route.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 48
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/fonts/[name]/route.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 97
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/fonts/route.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 37
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/health/route.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/preferences/route.ts", "TypeScript", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 78
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/tasks/[id]/progress/route.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 128
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/tasks/[id]/route.ts", "TypeScript", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 155
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/tasks/create/route.ts", "TypeScript", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 148
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/tasks/route.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/upload/route.ts", "TypeScript", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 99
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/api/webhooks/modal/route.ts", "TypeScript", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 97
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/dashboard/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/dashboard/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1049, 0, 0, 44, 100, 1193
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 8, 43
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/list/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/list/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 682, 0, 0, 13, 58, 753
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 4, 10, 54
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 3, 29
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/settings/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 15, 34, 373
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/signup/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 4, 10, 54
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/tasks/[id]/edit/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 851, 0, 0, 0, 98, 949
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/tasks/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 428, 0, 0, 8, 33, 469
"/Users/ebelthomasseiko/ClippedAI/frontend/src/app/tasks/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/admin/admin-user-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 10, 62
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/app-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 0, 0, 11, 17, 223
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/clip-display.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 8, 89
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/datafast-identity.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 10, 38
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/dynamic-video-player.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 5, 47
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/feedback-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 14, 126
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/bento-grid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 13, 108
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/flip-words.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 5, 84
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/floating-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 3, 4, 73
